From Files,To File,References,From Entities,To Entities
12,/Users/danielbeatty/projects/BeanStalk/cubsat (trunk)/GMAT-R2018a/src/base/coordsystem/CoordinateSystemException.cpp,83,55,1
27,/Users/danielbeatty/projects/BeanStalk/cubsat (trunk)/GMAT-R2018a/src/base/coordsystem/CoordinateSystemException.hpp,112,87,2
15,/Users/danielbeatty/projects/BeanStalk/cubsat (trunk)/GMAT-R2018a/src/base/coordsystem/DynamicAxes.cpp,100,55,4
23,/Users/danielbeatty/projects/BeanStalk/cubsat (trunk)/GMAT-R2018a/src/base/coordsystem/DynamicAxes.hpp,34,34,2
1,/Users/danielbeatty/projects/BeanStalk/cubsat (trunk)/GMAT-R2018a/src/base/coordsystem/EquatorAxes.cpp,1,1,1
5,/Users/danielbeatty/projects/BeanStalk/cubsat (trunk)/GMAT-R2018a/src/base/coordsystem/EquatorAxes.hpp,17,13,3
1,/Users/danielbeatty/projects/BeanStalk/cubsat (trunk)/GMAT-R2018a/src/base/coordsystem/GeocentricSolarEclipticAxes.cpp,1,1,1
4,/Users/danielbeatty/projects/BeanStalk/cubsat (trunk)/GMAT-R2018a/src/base/coordsystem/GeocentricSolarEclipticAxes.hpp,11,11,2
1,/Users/danielbeatty/projects/BeanStalk/cubsat (trunk)/GMAT-R2018a/src/base/coordsystem/GeocentricSolarMagneticAxes.cpp,1,1,1
4,/Users/danielbeatty/projects/BeanStalk/cubsat (trunk)/GMAT-R2018a/src/base/coordsystem/GeocentricSolarMagneticAxes.hpp,35,16,6
1,/Users/danielbeatty/projects/BeanStalk/cubsat (trunk)/GMAT-R2018a/src/base/coordsystem/IAUFile.cpp,3,2,3
2,/Users/danielbeatty/projects/BeanStalk/cubsat (trunk)/GMAT-R2018a/src/base/coordsystem/IAUFile.hpp,66,10,10
2,/Users/danielbeatty/projects/BeanStalk/cubsat (trunk)/GMAT-R2018a/src/base/coordsystem/ICRFAxes.cpp,2,2,2
3,/Users/danielbeatty/projects/BeanStalk/cubsat (trunk)/GMAT-R2018a/src/base/coordsystem/ICRFAxes.hpp,8,8,2
1,/Users/danielbeatty/projects/BeanStalk/cubsat (trunk)/GMAT-R2018a/src/base/coordsystem/ICRFFile.cpp,3,1,3
